Club Name,Description,Commitment Level,Categories,Image URL,Link
Social Deduction Club,"(Formerly Stuy BotC) In this club, we play social deduction games both in person and over Discord.",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/socialdeduction/b3ac15e6",/socialdeduction
Stuy Go Club,"Stuy Go Club introduces students to the fascinating board game Go, as well as its cultural origins and philosophy.",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/goclub/f42148a0",/goclub
StuyFS,StuyFS is a club centered around teaching people the basics of full-stack web development.,Medium Commitment,"Academic & Professional, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyFullStack/39fba340",/StuyFullStack
Open Source Studio,Open Source Studio aims to foster a community of teaching programming languages and utilizing those skills to create large open-source projects.,Medium Commitment,"STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/opensourcestudio/d6a07b66",/opensourcestudio
Stuy Business Competitions,We aim to bring all types of business competitions to students and provide resources for them to successfully proceed in these competitions.,Medium Commitment,"Academic & Professional, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuybc/48d82b01",/stuybc
Stuyvesant Music Outreach League,The Stuyvesant Music Outreach League aims to use our musical abilities and talents to bring joy to those around us.,Medium Commitment,"Community Service & Volunteering, Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/SMOL/4fec7d98",/SMOL
Venturer Finance Club,A finance club that combines business and writing to provide students with the skillsets necessary to run a start-up.,Medium Commitment,"Academic & Professional, Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/venturerfinanceclub/1bf0246f",/venturerfinanceclub
AP Chemistry Tutoring,The goal of this club is to prep students (primarily sophomores) for the AP Chemistry Course and AP Exam in May.,Medium Commitment,STEM,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/APChem/33f7f08a",/APChem
Stuywan,Advocators for freedom and drinkers of boba. Welcome to Stuy’s Taiwan club.,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuywan/09f127fd",/stuywan
Vocalasia,The mission is to share the love for Asian music through live and Youtube vocal cover performances.,Medium Commitment,"Cultural & Religious, Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/Vocalasia/157f9e37",/Vocalasia
Surf A.I.,Our goal is to provide a friendly community of like-minded peers for ethusiasts to learn more about concepts of AI and it's applications.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/surfai/b9fc46e3",/surfai
Stuy FBLA,"Stuy FBLA's goal is to foster a community of future business leaders through conferences, student-led workshops, online resources, and more.",Medium Commitment,"Academic & Professional, Public Speaking, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyfbla/78254d9b",/stuyfbla
Stuyvesant Alumni Mentoring Program,The Stuyvesant Alumni Mentoring Program aims to connect Stuyvesant alumni with current students to aid personal growth.,Low Commitment,Academic & Professional,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymentoring/6048752b",/stuymentoring
Call of Duty Mobile Club,The COD Mobile Club aims to bring all COD Mobile players at Stuyvesant together!,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/codmobile/d0cc6751",/codmobile
Envirothon,StuyEnvirothon is a welcoming environment where members can deepen their understanding of environmental science and natural resource management.,Medium Commitment,STEM,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/Stuyenvirothon/4c9da29d",/Stuyenvirothon
The Spectator,"The goal of The Spectator, the school newspaper of Stuyvesant High School, is to inform the Stuyvesant community.",Medium Commitment,"Academic & Professional, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyspectator/787d99ba",/stuyspectator
PublicPalette,"By creating art, PublicPalette aims to improve children’s mental health.",Medium Commitment,"Arts & Crafts, Community Service & Volunteering, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/publicpalette/495e57e6",/publicpalette
Stuy Cheer,Stuy Cheer wants to help raise school spirit and help develop a school environment that is supportive and excited about its other team sports.,High Commitment,Club Sports & Recreational Games,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycheer/38f844ed",/stuycheer
Stuyvesant Humanities Prep,"StuyHP works to provide assistance to humanities students through tutoring, test prep, material comprehension, and guidance for projects like NHD.",Medium Commitment,"Academic & Professional, Community Service & Volunteering, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyhp/5638c015",/stuyhp
Stuyvesant Science Bowl,"Exploring different fields of science, competing and bonding with others, and training the next winners of the National Science Bowl!",Low Commitment,"Academic & Professional, Club Sports & Recreational Games, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuysciencebowl/eed1eba8",/stuysciencebowl
The Stuyvesant Indicator,"The Indicator, Stuyvesant’s senior yearbook, intends to produce a special collection of memories for the graduating seniors.",Low Commitment,Publication,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyvesantindicator/5e2a855d",/stuyvesantindicator
ChillPill,Chill Pill aims to foster a judgment-free safe space for students to share their experiences whilst addressing and learning about mental health.,Low Commitment,"Club Sports & Recreational Games, Student Support & Government, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/Chillpill/9e6959e2",/Chillpill
Stuy Horror Club,"Stuy Horror Club aims to facilitate conversations and deep dives into the horror genre in many different aspects including books, games, and films.",Low Commitment,Hobby & Special Interests,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/horror/2ec6a185",/horror
Mock Trial,Mock Trial aims to prepare students to compete in the NYSBA's High School Mock Trial Program and expand their knowledge of trial law.,Medium Commitment,"Academic & Professional, Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/mocktrial/3d24455f",/mocktrial
StuyFEC (Financial Economic Crises),Educating students on economic crises and incorporating insight into financial decisions today.,Low Commitment,"Academic & Professional, Community Service & Volunteering, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyfec/b70e30cc",/stuyfec
South Asian Youth Association,The South Asian Youth Association aims to create a community that empowers and unites South Asian youth.,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/saya/ce45baef",/saya
Stuyvesant Coral Reef Club,This activity's mission is to help members use chemical and biological processes to rehabilitate the degrading reefs in our school's fish tanks.,Low Commitment,"STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycoralreefclub/febd427e",/stuycoralreefclub
Stuyvesant Rainbow Vision,Provide accessible and affordable eye care services to underserved communities through community service and fundraising efforts.,Medium Commitment,"Academic & Professional, Community Service & Volunteering","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/srv/f77e7c6c",/srv
Women’s Self Defense Club,"While everyone is encouraged to join this club, this club is especially for women who want to know how to defend themselves.",Low Commitment,"Community Service & Volunteering, Student Support & Government, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/wsdc/0c4847ae",/wsdc
Biology and Medicine Exploration Initiative,This club provides opportunities for students to learn from others and get involved in different branches of biology and medicine.,Low Commitment,"Academic & Professional, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/biologyandmedicine/592db275",/biologyandmedicine
Stuyvesant Math Modeling Club,"Empower students through collaborative exploration, discussion, and application of mathematical modeling principles in the world of math modeling.",Medium Commitment,"Academic & Professional, STEM, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyMathModeling/e6fec476",/StuyMathModeling
Stuy Cultural Preservation Club,The key mission of this club is to encourage students to pursue occupations in the creative field and spread awareness of diverse cultures.,Medium Commitment,"Arts & Crafts, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyCulturalPreservationClub/6a396358",/StuyCulturalPreservationClub
StuyCrochet,StuyCrochet strives to teach the art of crocheting to help those interested find a new hobby.,Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycrochet/170d7bed",/stuycrochet
Stuyvesant Theater Community,"STC aims to produce three entirely student-led shows per year, one per season, to foster a love of theater within our school community.",High Commitment,"Arts & Crafts, Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuytheater/61c69a45",/stuytheater
Future Financiers,Future Financiers’ mission is to educate students about financial literacy and help group students together to participate in official competitions.,Low Commitment,"Academic & Professional, Public Speaking, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/futurefinanciers/2e1b7332",/futurefinanciers
Stuyvesant Muslim Students Association,Stuyvesant Muslim Students Association strives to provide a welcoming and tolerant atmosphere for those interested in learning more about Islam.,Medium Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymsa/3db0a3aa",/stuymsa
Stuyvesant Girls Lacrosse Club,This club aims to both improve beginner and experienced members' lacrosse skills prior to the spring lacrosse season.,Medium Commitment,Club Sports & Recreational Games,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyglc/c32a4908",/stuyglc
The Crewmates,"The Crewmates is a club that brings together everyone who enjoys the murder mystery game Among Us, whether they like it for real or for the memes.",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/the-crewmates/b768dee1",/the-crewmates
Stuy STEM Initiative,Stuy STEM Initiative is a place where people with interests in many different STEM fields can come together and work on research projects.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/STEM/2247e061",/STEM
StuySips,"StuySips is a club dedicated to everything about drinks! All lovers of tea, coffee, water, boba, and other beverages are welcome.",Low Commitment,"Arts & Crafts, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuysips/3184ca2f",/stuysips
StuyCast,"StuyCast brings together various behind-the-scene talents, collaborates with other clubs, and provides leadership opportunities throughout the year!",Medium Commitment,"Hobby & Special Interests, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycast/e5df1d79",/stuycast
Clubs and Pubs Leaders' Union of Business,The Clubs and Pubs Leaders’ Union of Business is a union of club leaders to advocate for the interests of club leaders at Stuyvesant.,Low Commitment,"Community Service & Volunteering, Student Support & Government, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/clubs-pubs-leaders-union/ac42b060",/clubs-pubs-leaders-union
Stuyvesant Key Club,"Stuyvesant Key Club is centered around providing students with opportunities to serve their community, build character, and develop key skills.",Low Commitment,Community Service & Volunteering,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyvesantkeyclub/22db3f6a",/stuyvesantkeyclub
Model Kit Club,The Model Kit Club creates an inclusive space for all model kit hobbyists to build scale models through fun and constructive group projects.,Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/modelkitclub/2a89c6f2",/modelkitclub
Stuy Math Circle,"Vote to read chapters from the ""Proofs from THE BOOK"" and discuss them",Low Commitment,Academic & Professional,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuymathcicle/a959aef5",/stuymathcicle
Stuyvesant Game Devs,Stuyvesant Game Devs aims to provide an opportunity for people interested in game development to learn about and experience it.,Medium Commitment,Hobby & Special Interests,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/gamedevs/90d101e0",/gamedevs
StuyCanvas,"A club & small community of artists, developing their individual styles and practices through workshops, projects, and volunteering.",Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyCanvas/027774b8",/StuyCanvas
Stuy Open Gallery,Stuy Open Gallery offers students the opportunity to collectively plan an end-of-year gallery to commemorate the artwork of club members.,Medium Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyopengallery/a19eab11",/stuyopengallery
Stay Opera,"We watch masterpieces from famous composers such as Verdi, Puccini, Claudio, and Jacopo. Exploring more possibilities of opera as a way of creation.",Low Commitment,Music,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyopera/07130041",/stuyopera
Stuy Linux,Stuy Linux is a beginner-friendly club that lets members explore Free/Libre Open Source Software (FOSS) that respects the user and their rights.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/linux/4d5f7eed",/linux
Stuyvesant Artistic Beading Club,Stuyvesant Artistic Beading Club (Stuy ABC) aims to introduce students to the art of beading and develop their creativity through making 3D models.,Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/artisticbeadingclub/cdc00d87",/artisticbeadingclub
ACS Chemistry Club,"ACS Chemistry club's mission is to help students further their understanding of AP Chemistry, chemistry in general, as well as assistance with labs.",Low Commitment,Academic & Professional,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/ACS/493451a5",/ACS
Stuy Choreo,We aim to provide an environment and community for students to immerse themselves in the creating and learning choreography.,Low Commitment,Hobby & Special Interests,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuychoreo/d77b19be",/stuychoreo
Spectrum,The mission of Stuyvesant Spectrum is to provide a safe space for LGBTQ students and allies.,Low Commitment,"Cultural & Religious, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/spectrum/4f27748d",/spectrum
StuyModern,StuyModern aims to share a love for modern dance and build technique through expressive choreo workshops and technique building sessions.,Low Commitment,"Arts & Crafts, Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyModern/fb2aee39",/StuyModern
Caliper Magazine,"Since its conception in 1906, Caliper Literary Magazine has been a haven for Stuyvesant's artists and writers.",Medium Commitment,Publication,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/calipermag/32bfbdef",/calipermag
"Stuyvesant Society for Peace, Nonviolence, and Conscientious Objection",To promote peace before war arrives and prevent Stuyvesant students from being drafted into the military after graduation.,Low Commitment,"Community Service & Volunteering, Student Support & Government","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/httpsstuyactivitiesorgStuyvesantSocietyforPeaceNonviolenceandConscientiousObjection/1469e6c1",/httpsstuyactivitiesorgStuyvesantSocietyforPeaceNonviolenceandConscientiousObjection
Stuyvesant Greek Club,The Greek/Hellenic Club gives Stuyvesant students the opportunity to interact with and celebrate Greek culture.,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/greekclub/1bb38e09",/greekclub
StuyCanto,StuyCanto aims to bring students together to explore Cantonese culture and language.,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycanto/5bfd547f",/stuycanto
Stuy A Cappella,"Stuyvesant A Cappella bands together the talented singers of Stuyvesant's student body, using only voices to create, arrange, and perform music.",Medium Commitment,"Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/acappella/f38af86a",/acappella
The Stuyvesant Research Club,The Research Club aims to provide students with a community to explore their scientific curiosities and resources to get involved in research.,Medium Commitment,"Academic & Professional, STEM, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyresearchclub/e3d51601",/stuyresearchclub
Stuyvesant Student Union,The Stuyvesant Student Union (SU) aims to bridge the gap between the school and our community by creating events and helpful policies and resources.,High Commitment,Student Support & Government,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuysu/d369df57",/stuysu
Stuy Improv,"Stuyvesant Improv is a safe, non-competitive space for students to express themselves and unlock their creativity, all while laughing and having fun.",Medium Commitment,Hobby & Special Interests,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/improv/9b0b9ca4",/improv
Armchair Military Historian Club,"To teach students about basic military theory, review historical battles, host speakers, and play simple war games.",Low Commitment,Hobby & Special Interests,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/AMHC/e2c84765",/AMHC
Stuyvesant Filipino Club,Stuyvesant Filipino Club aims to foster a positive and welcoming community for both Filipinos and non-Filipinos to celebrate the culture.,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyfilipino/0ab3b421",/stuyfilipino
Girls Chess Club,"The Girls Chess Club works towards presenting an encouraging and collaborative environment for girls, with all levels of experience, in chess!",Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/girlschessclub/3bd36166",/girlschessclub
Stuyvesant Linguistics Club,The Stuyvesant Linguistics Club aims to give space for students passionate about linguistics to further their interests and prepare for the NACLO.,Low Commitment,"Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyvesantLinguisticsClub/221822c6",/StuyvesantLinguisticsClub
Craft For A Cure,"Through creative arts, crafts, and education, Craft For a Cure aims to raise funds and support for cancer research.",Low Commitment,"Arts & Crafts, Community Service & Volunteering","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/craftforacure/379c5caf",/craftforacure
Stuy AI Ethics,"Members will meet for weekly discussions and/or debates, which will either focus on a guest speaker or recent news that impacts AI ethics.",Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/saie/0c25aa20",/saie
Stuyvesant Philharmonic,Stuyvesant Philharmonic is a completely student-run band that’s all about having fun and bonding through music.,Medium Commitment,"Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyphil/9d626e75",/stuyphil
Stuyvesant Sticky Fingers (Girls),"The Stuyvesant Sticky Fingers (Girls) bring Ultimate Frisbee to the Stuyvesant community, allowing players to compete in games in and out of the city.",Medium Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stickyfingersgirls/3c9abe11",/stickyfingersgirls
Stuyvesant Bridging Seas,Stuyvesant Bridging Seas aims to unify the Asian diaspora by creating a platform for club members to embrace their roots and different lifestyles.,Low Commitment,"Community Service & Volunteering, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuybridgingseas/796bc5ae",/stuybridgingseas
GlamourGals,"Reduce elder isolation in local communities by providing companionship, conversation, and the organization’s signature program of beauty makeovers.",Medium Commitment,"Arts & Crafts, Community Service & Volunteering","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/glamourgals/ccde604a",/glamourgals
Stuy Tennis Club,The Stuy Tennis Club is designed to connect tennis players at this school with the aim to aid in the development of our games and the sport in general,Low Commitment,Club Sports & Recreational Games,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuytennisclub/039a7897",/stuytennisclub
Stuyvesant Chess Club,To provide students interested in chess an opportunity to come together and play.,Low Commitment,"Academic & Professional, Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/chessclub/f86d44d7",/chessclub
Stuyvesant Food Security Club,Stuyvesant Food Security Club’s mission is to take unused food from the cafeteria and distribute it around the city to people in need.,Low Commitment,Community Service & Volunteering,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/SFSC/d0612d43",/SFSC
Stuy Jewelry,Stuy Jewelry welcomes members to express their creativity and help others through creating jewelry and volunteering.,Low Commitment,"Arts & Crafts, Community Service & Volunteering, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyjewelry/87fe2436",/stuyjewelry
EcoBiz,EcoBiz teaches students about Sustainable Business along with transitioning small businesses to environmentally friendly practices and materials.,Low Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/ecobiz/581209c3",/ecobiz
Current Events Club,"Stuy Current Events will serve as a space for students to discuss politics, current events, and the news.",Low Commitment,"Academic & Professional, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/currentevents/68a8f584",/currentevents
OpTED In,"OpTED In empowers people by voicing opinions on topics of debate. Eventually, these arguments will be broadcasted as Ted Talks that members star in.",Medium Commitment,"Academic & Professional, Public Speaking, Publication","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/OpTEDin/be8ee74d",/OpTEDin
stuyai,"StuyAI aims to teach anyone, including complete beginners, how to make and improve their own meaningful machine learning models and learn about AI.",Low Commitment,"Community Service & Volunteering, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyai/435b7707",/stuyai
Stuy Guitar,Stuy Guitar aims to provide the opportunity to learn about art of guitar playing.,Low Commitment,"Arts & Crafts, Music, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/StuyGuitar/a311841b",/StuyGuitar
Stuy Criminal Psychology,Stuy Criminal Psychology is devoted to giving students who enjoy criminal psychology and/or true crime a place to indulge in their passions.,Low Commitment,"Academic & Professional, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuycriminalpsychology/d40883b0",/stuycriminalpsychology
Stuyvesant Robotics,This is a student led club designed to promote interest in the study of robotics and STEM.,High Commitment,"Academic & Professional, STEM","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/robotics/8ba8d980",/robotics
Stuyvesant Math Team,To pursue our collective passion for mathematics through problem-solving and to help each other improve.,High Commitment,"Academic & Professional, STEM, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/mathteam/c0a1df62",/mathteam
Balkan Appreciation Club,The BAC is all about spreading the culture and history of the Balkans and forming connections between Balkan and other cultures at Stuy.,Low Commitment,Cultural & Religious,"https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/bac/9d7d37fe",/bac
Stuyvesant French Club,Stuy French club is for sharing French culture and experiencing it as accurately as possible.,Low Commitment,"Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/frenchclub/b6386046",/frenchclub
Stuyvesant Hindu Students Council (HSC),The Hindu Students Council (HSC) aims to form a welcoming and open environment for those who would like to learn more about Hinduism.,Low Commitment,"Community Service & Volunteering, Cultural & Religious, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyhsc/37cd6c45",/stuyhsc
Stuy Pensthetics,"Stuy Pensthetics aims to spread a love for modern calligraphy through the art of bullet journaling, penpalling, and other fun activities.",Low Commitment,"Arts & Crafts, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/Stuypensthetics/fc207be4",/Stuypensthetics
Stuyvesant Certamen Team & Stuy Classics,Stuyvesant Certamen Team & Stuy Classics studies classical culture for both competitions and enjoyment!,Medium Commitment,"Academic & Professional, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyclassics/2c25b8c4",/stuyclassics
Stuyvesant Prison Education Club,This club is an organization dedicated to raising awareness about mass incarceration in the US and the role of education in mitigating it’s impact.,Low Commitment,"Community Service & Volunteering, Student Support & Government, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/prisoneducationclub/3729e057",/prisoneducationclub
Super Stuy Bros,Super Stuy Bros aims to create a comfortable and accessible environment for students passionate about Super Smash Bros and other fighting video games.,Low Commitment,"Club Sports & Recreational Games, Hobby & Special Interests","https://image-cdn.stuyactivities.org/image/upload/c_thumb,g_center,h_180,r_100,w_180/v1/organizations/stuyfgc/a61251f4",/stuyfgc
